path,type,required,label,opendata,generated,description,thesaurus
"REF","String","oui","Référence","","","",""
"BASE","String","non","Nom de la base","","true","Nom de la base : Enluminures (Enluminures)",""
"CONTIENT_IMAGE","String","non","Contient une image","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champ sera 'oui', sinon 'non'. Ce champ est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES",""
"ATTRIB","String","non","Auteur de l'oeuvre ou de l'original","","","",""
"APPL","String","non","","","","",""
"AUTR","String","non","","","","",""
"AUTS","String","non","","","","",""
"CONSERV","String","non","","","","",""
"CONTXT","String","non","Contexte","","","",""
"COTE","String","non","","","","",""
"DATE","String","non","Datation","","","",""
"DATDEB","String","non","","","","",""
"DATFIN","String","non","","","","",""
"DIMS","String","non","","","","",""
"ETAB","String","non","","","","",""
"FOPG","String","non","","","","",""
"FOLIOS","String","non","","","","",""
"LANGOUV","String","non","","","","",""
"NFICH","String","non","","","","",""
"NVUE","String","non","","","","",""
"NOMENC","Array","non","Domaine","","","",""
"NOTES","String","non","Notes manuscrit","","","",""
"NOTDEC","String","non","Remarques sur le décors","","","",""
"OPHOT","String","non","","","","",""
"ORIGG","String","non","Origine géographique","","","",""
"ORIGH","String","non","Origine historique","","","",""
"ORIGP","String","non","","","","",""
"DOMN","String","non","","","","",""
"TYPE","String","non","","","","",""
"POSS","Array","non","Possesseur","","","",""
"REFD","String","non","Cote","","","",""
"REFIM","String","non","","","","",""
"ENRGFP","String","non","","","","",""
"ENRGMS","String","non","","","","",""
"DROIT","String","non","Crédits photographiques","","","",""
"COPY","String","non","Copyright notice","","","",""
"SUJET","String","non","Titre de l'enluminure / Sujet","","","",""
"SUPP","String","non","","","","",""
"TITR","String","non","Titre de l'ouvrage","","","",""
"TYPDEC","String","non","Typologie du décors","","","",""
"TYPCOD","String","non","","","","",""
"LOCA","String","non","","","","",""
"LOCA2","String","non","","","","",""
"VISITE","String","non","","","","",""
"VIDEO","Array","non","","","","",""
"TOUT","String","non","","","","",""
"IMG","String","non","","","","",""
"DMAJ","String","non","Date de mise à jour","","true","Date de mise à jour (format AAAA-MM-JJ)",""
"DMIS","String","non","Date de création","","true","Date de la création (format AAAA-MM-JJ)",""
"_id","ObjectID","non","","","","",""
"__v","Number","non","","","","",""
