path,type,required,label,opendata,generated,description,thesaurus
"PRODUCTEUR","String","non","Producteur","","true","
        Producteur de la donnée défini selon l'algorithme suivant : 
        IM = Inventaire
        PM = Monuments Historiques
        EM = ETAT
        Autre = Autre",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES",""
"POP_FLAGS","Array","non","Alertes POP","","true","Informations et avertissements techniques",""
"POP_COORDONNEES.lat","Number","non","","","","Latitude de la notice en WGS84. Il faut vider le champ COOR et ZONE pour pouvoir éditer ce champ",""
"POP_COORDONNEES.lon","Number","non","","","","Longitude de la notice en WGS84. Il faut vider le champ COOR et ZONE pour pouvoir éditer ce champ",""
"POP_CONTIENT_GEOLOCALISATION","String","non","","","true","Champs généré pour savoir si une géolocalisation existe",""
"POP_COORDINATES_POLYGON.type","String","non","","","","",""
"POP_COORDINATES_POLYGON.coordinates","Array","non","","","","",""
"BASE","String","non","Nom de la base","","true","Nom de la base : Patrimoine mobilier (Palissy)",""
"MEMOIRE","Array","non","","","","",""
"REF","String","oui","Référence de la notice","","","Référence de la notice. Obligatoire, doit être alphanumérique.",""
"POP_IMPORT","Array","non","","","","",""
"ACQU","String","non","Contexte d'acquisition","","","",""
"ADRS","String","non","Adresse de l'édifice","","","Adresse de l'édifice. Ne peut pas être vide si WADRS est renseigné.",""
"ADRS2","String","non","Adresse de l'édifice contenant masqué","","","",""
"AFIG","Array","non","Auteur du projet","","","",""
"AIRE","String","non","Aire d'étude pour le domaine Inventaire","","","",""
"APPL","String","non","Appelation d'usage","","","",""
"ATEL","String","non","Personne morale créatrice de l'objet","","","",""
"AUTP","String","non","Auteur de la photographie (Mémoire)","","","",""
"AUTR","Array","non","Auteur de l'œuvre ou créateur de l'objet","","","",""
"BIBL","String","non","Référence(s) de publication(s)","","","",""
"CANT","String","non","Canton","","","",""
"CATE","Array","non","Catégorie technique","","","",""
"COM","String","non","Commune","","","Commune. Ne peut pas être vide si WCOM est renseigné.",""
"COM2","String","non","Commune masquée","","","",""
"PRECISION_JURIDIQUE","String","non","Précision juridique","","","",""
"CONTACT","String","non","Adresse courriel de contact","","","Doit contenir une adresse email valide. Affiche un avertissement si vide.",""
"COOR","String","non","Coordonnées géographiques d'un point","","","",""
"COORM","String","non","Coordonnées géographiques multiples","","","",""
"COPY","String","non","Copyright de la notice ","","","Copyright de la notice. Affiche un avertissement si vide.",""
"DATE","Array","non","Année de création","","","",""
"DBOR","Array","non","Date de rédaction de la notice","","","",""
"DENO","Array","non","Dénomination de l'objet","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T69"
"DENQ","Array","non","Date de l'enquête ou du dernier récolement","","","",""
"DEPL","String","non","Lieu de déplacement de l'objet","","","",""
"DESC","String","non","Description matérielle","","","",""
"DIMS","String","non","Dimensions normalisées","","","",""
"DMAJ","String","non","Date de la dernière modification de la notice","","true","",""
"DMIS","String","non","Date de versement de la notice","","true","",""
"DOMN","String","non","Domaine","","","Domaine",""
"DOSADRS","String","non","Adresse du dossier Inventaire","","","Adresse du dossier Inventaire",""
"DOSS","Array","non","Dénomination du dossier","","","Dénomination du dossier. Affiche un avertissement si vide.",""
"POP_DOSSIER_VERT","String","non","PDF Inventaire (dossier verts)","","","",""
"POP_ARRETE_PROTECTION","Array","non","Arrêté de protection MH","","","",""
"POP_DOSSIER_PROTECTION","Array","non","Dossier de protection MH","","","",""
"DOSURL","String","non","URL du dossier Inventaire","","","URL du dossier Inventaire. Doit être une URL valide.",""
"DOSURLPDF","String","non","Précisions sur l'URL du dossier Inventaire","","","Lien vers le dossier PDF. Doit être une URL valide.",""
"DPRO","String","non","Date et typologie de la protection","","","",""
"DPT","String","non","Département","","","Département. Doit contenir 2 caractères ou plus et commencer comme DPT.",""
"DPT_LETTRE","String","non","Département en lettre","","","Département en lettre",""
"EDIF","String","non","Nom de l'édifice","","","",""
"EDIF2","String","non","Edifice contenant masqué","","","",""
"EMPL","String","non","Emplacement de l’œuvre dans l’édifice","","","",""
"EMPL2","String","non","Emplacement dans l'édifice masqué","","","",""
"ETAT","Array","non","État de conservation (normalisé)","","","",""
"ETUD","String","non","Cadre de l'étude ","","","Cadre de l'étude. Affiche un avertissement si vide.",""
"EXEC","String","non","Lieu de création","","","",""
"EXPO","String","non","Référence(s) d'exposition(s)","","","Référence(s) d'exposition(s)",""
"HIST","String","non","Description historique","","","",""
"IDAGR","Array","non","Référence informatique SIMH","","","",""
"IMAGE","String","non","Emplacement de l'image sur le serveur","","","",""
"IMG","Array","non","","","","[PAS AFFICHE]",""
"IMPL","String","non","Milieu d'implantation pour le domaine Inventaire","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T12"
"INSC","Array","non","Inscription","","","",""
"INSEE","String","non","Numéro INSEE de la commune","","","Numéro INSEE de la commune. Doit contenir 5 caractères ou plus et commencer comme DPT.",""
"INSEE2","String","non","Code INSEE masqué","","","",""
"INTE","String","non","Intérêt de l'objet","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T33"
"JDAT","Array","non","Justification de la datation","","","Justification de la datation",""
"LARC","String","non","Lien base Arcade","","","Lien base Arcade",""
"LINHA","Array","non","Lien INHA","","","Lien INHA",""
"LREG","Array","non","Lien Regards","","","Lien Regards",""
"LBASE2","String","non","Référence de la notice cible Palissy pour Mémoire","","","",""
"LIENS","Array","non","Liens externes éventuels","","","",""
"LIEU","String","non","Lieu-dit","","","Lieu-dit",""
"LMDP","String","non","","","","[PAS AFFICHE]",""
"LOCA","String","non","Localisation complète","","","",""
"MANQUANT","Array","non","Statut juridique de l'objet","","","",""
"MATR","Array","non","Matériaux et techniques d'interventions","","","",""
"MFICH","Array","non","Accès microfiche ","","","",""
"MICR","String","non","Numéro de microfiche","","","",""
"MOSA","String","non","Edition d'une mosaïque d'image","","","",""
"NART","String","non","Numéro artificiel de différenciation de l'objet","","","",""
"NINV","String","non","Numéro d'inventaire affecté à l'objet","","","",""
"NOMS","Array","non","Nom du rédacteur","","","",""
"NUMA","String","non","Numéro de l'arrêté de protection","","","",""
"NUMP","String","non","Cote de la photographie (Mémoire)","","","",""
"OBS","String","non","Observations","","","",""
"ORIG","String","non","Lieu de provenance","","","",""
"PAPP","String","non","Intitulé de l'ensemble","","","",""
"PARN","Array","non","Partie constituante non étudiée","","","",""
"PART","Array","non","Partie constituante","","","",""
"PDEN","Array","non","Précision sur la typologie de l'objet - hors lexique","","","",""
"PDIM","String","non","Précisions sur les dimensions","","","",""
"PERS","Array","non","Personnalités liées à l'histoire de l'objet","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T6"
"PETA","String","non","Précisions sur l'état de conservation","","","",""
"PHOTO","String","non","Photographies liées au dossier de protection","","","",""
"PINS","String","non","Précisions sur l'inscription","","","",""
"PINT","String","non","Intérêt oeuvre","","","Intérêt oeuvre",""
"PLOC","String","non","Précision sur la localisation","","","",""
"PPRO","String","non","Précisions sur la protection","","","",""
"PREP","String","non","Description littéraire de l'iconographie","","","",""
"PROT","String","non","Typologie de la protection","","","Typologie de la protection. Ne peut pas être vide si DPRO est renseigné.","http://data.culture.fr/thesaurus/resource/ark:/67717/T10"
"REFA","Array","non","Référence Mérimée de l'édifice","","","REFA contient une ou plusieurs références de notice Mérimée. C'est une référence d'architecture/monument historique qui contient les objets, présents dans la notice palissy associée",""
